F1,kin,kout,ktr,kout2,k1,k2,k12,k21,A1,B1,n,A2,B2,n2
0.6349,0.0001775,0.000946583,0.004741,89.26,0.000523778,0.001774,0.003068242,0.000419919,0.0000347,0.00344,0.8551,0.0001002,0.02392,0.8887
0.6349,0.0001775,0.000852755,0.004741,89.26,0.000659377,0.001774,0.002611401,0.000343489,0.0000305,0.003301,0.8749,0.0001656,0.02521,0.8263
0.6349,0.0001775,0.000572892,0.004741,89.26,0.000821624,0.001774,0.003787276,0.000473318,0.0000308,0.003634,0.883,0.0001067,0.0233,0.8806
0.6349,0.0001775,0.00062343,0.004741,89.26,0.000716632,0.001774,0.002398826,0.000384326,0.0000288,0.003424,0.8919,0.00009013,0.02251,0.9105
0.6349,0.0001775,0.000643424,0.004741,89.26,0.000852828,0.001774,0.00306023,0.000418155,0.0000402,0.003581,0.8379,0.00009566,0.02337,0.8861
0.6349,0.0001775,0.001070678,0.004741,89.26,0.000760562,0.001774,0.004583846,0.000510501,0.0000362,0.003708,0.8567,0.00007297,0.02387,0.9293
0.6349,0.0001775,0.000939478,0.004741,89.26,0.000598464,0.001774,0.002221664,0.00035727,0.0000301,0.003229,0.8778,0.00005824,0.02225,0.9668
0.6349,0.0001775,0.000519626,0.004741,89.26,0.000732806,0.001774,0.002840759,0.000358073,0.000038,0.00365,0.8493,0.00009652,0.02503,0.8835
0.6349,0.0001775,0.000786366,0.004741,89.26,0.000626501,0.001774,0.002394317,0.000347892,0.0000367,0.003513,0.8498,0.00006979,0.02378,0.9339
0.6349,0.0001775,0.000804937,0.004741,89.26,0.000766984,0.001774,0.003688557,0.000387711,0.0000417,0.003735,0.8309,0.0001181,0.02841,0.8728
0.6349,0.0001775,0.001191725,0.004741,89.26,0.000814801,0.001774,0.003301709,0.000394608,0.0000387,0.003472,0.8377,0.0001128,0.02486,0.8957
0.6349,0.0001775,0.000848264,0.004741,89.26,0.000601123,0.001774,0.002491524,0.000419816,0.0000337,0.003295,0.8575,0.00007721,0.02413,0.9253
0.6349,0.0001775,0.000731129,0.004741,89.26,0.000690694,0.001774,0.002594279,0.000324849,0.0000301,0.003399,0.8789,0.00009752,0.02364,0.8903
0.6349,0.0001775,0.00101521,0.004741,89.26,0.000554366,0.001774,0.002981203,0.000307571,0.0000355,0.003335,0.8478,0.00007153,0.02391,0.9346
0.6349,0.0001775,0.001116923,0.004741,89.26,0.000698887,0.001774,0.003371591,0.000317327,0.0000359,0.003497,0.8529,0.0001425,0.02342,0.8471
0.6349,0.0001775,0.00076411,0.004741,89.26,0.000734452,0.001774,0.002871271,0.000377429,0.0000351,0.003385,0.8541,0.0001069,0.02442,0.8902
0.6349,0.0001775,0.001074792,0.004741,89.26,0.000540703,0.001774,0.002329789,0.000303982,0.0000447,0.003777,0.8243,0.0000885,0.02776,0.9212
0.6349,0.0001775,0.000801249,0.004741,89.26,0.00064573,0.001774,0.002594898,0.000372563,0.0000358,0.003496,0.8503,0.0001366,0.02399,0.8345
0.6349,0.0001775,0.00080381,0.004741,89.26,0.000733145,0.001774,0.003051371,0.000411978,0.000039,0.003487,0.8355,0.000113,0.02397,0.8673
0.6349,0.0001775,0.000781985,0.004741,89.26,0.000660222,0.001774,0.002741234,0.000448354,0.0000345,0.003563,0.8613,0.0001888,0.02464,0.8031
0.6349,0.0001775,0.000821011,0.004741,89.26,0.000759711,0.001774,0.002885834,0.000415804,0.0000333,0.003388,0.8647,0.00005647,0.02423,0.9697
0.6349,0.0001775,0.000911987,0.004741,89.26,0.000747089,0.001774,0.003918741,0.000458214,0.0000328,0.003484,0.8656,0.000141,0.02153,0.8327
0.6349,0.0001775,0.000856883,0.004741,89.26,0.000665822,0.001774,0.002144983,0.000275939,0.0000389,0.003558,0.8381,0.00007921,0.02349,0.926
0.6349,0.0001775,0.000994259,0.004741,89.26,0.000640254,0.001774,0.002872021,0.000332866,0.0000388,0.003509,0.8393,0.00009359,0.0225,0.8932
0.6349,0.0001775,0.000669835,0.004741,89.26,0.000806964,0.001774,0.002559126,0.000346664,0.0000318,0.003293,0.8702,0.00009682,0.02478,0.8873
0.6349,0.0001775,0.00072137,0.004741,89.26,0.000702158,0.001774,0.003491845,0.000470877,0.0000348,0.003626,0.8609,0.0001237,0.02422,0.8577
0.6349,0.0001775,0.000905447,0.004741,89.26,0.000621829,0.001774,0.002423284,0.000364262,0.0000393,0.003661,0.8407,0.00008526,0.02446,0.9107
0.6349,0.0001775,0.000639352,0.004741,89.26,0.000742628,0.001774,0.003879102,0.000477904,0.0000327,0.003368,0.8632,0.00007962,0.02432,0.9232
0.6349,0.0001775,0.000833348,0.004741,89.26,0.000701929,0.001774,0.003123759,0.000378277,0.0000387,0.003589,0.8373,0.0000869,0.02287,0.9177
0.6349,0.0001775,0.000556366,0.004741,89.26,0.000589097,0.001774,0.002820106,0.000465076,0.0000381,0.00357,0.8467,0.0001469,0.02699,0.8437
0.6349,0.0001775,0.000870788,0.004741,89.26,0.000525517,0.001774,0.002901534,0.000351231,0.0000434,0.0036,0.8215,0.00009829,0.02386,0.878
0.6349,0.0001775,0.000718941,0.004741,89.26,0.000721942,0.001774,0.002491059,0.000441955,0.0000371,0.00353,0.8465,0.00006501,0.02495,0.96
0.6349,0.0001775,0.000492792,0.004741,89.26,0.000586389,0.001774,0.002667577,0.000411131,0.0000432,0.003855,0.8334,0.0001286,0.02462,0.8384
0.6349,0.0001775,0.001116725,0.004741,89.26,0.000794032,0.001774,0.003214235,0.000327371,0.000036,0.003494,0.8541,0.0001014,0.0245,0.8983
0.6349,0.0001775,0.000902445,0.004741,89.26,0.000739818,0.001774,0.003328549,0.000370321,0.0000327,0.003285,0.8596,0.00009216,0.02273,0.8916
0.6349,0.0001775,0.000805217,0.004741,89.26,0.000749261,0.001774,0.003884075,0.000408208,0.0000399,0.003598,0.8366,0.00007655,0.02389,0.9321
0.6349,0.0001775,0.00097819,0.004741,89.26,0.000702324,0.001774,0.005097622,0.000402904,0.0000284,0.003191,0.8834,0.0001009,0.02388,0.8838
0.6349,0.0001775,0.001218063,0.004741,89.26,0.000735821,0.001774,0.004270466,0.000448938,0.0000344,0.003702,0.87,0.00005603,0.02495,0.9669
0.6349,0.0001775,0.000736376,0.004741,89.26,0.000606644,0.001774,0.002865693,0.000402979,0.0000317,0.003428,0.874,0.0001136,0.0235,0.8665
0.6349,0.0001775,0.000780264,0.004741,89.26,0.000726036,0.001774,0.00327873,0.000468962,0.0000361,0.003439,0.8442,0.0001045,0.02368,0.8818
0.6349,0.0001775,0.000750898,0.004741,89.26,0.000678606,0.001774,0.002399668,0.000391222,0.0000353,0.003496,0.8542,0.0001213,0.02552,0.8711
0.6349,0.0001775,0.00096846,0.004741,89.26,0.000911726,0.001774,0.002617814,0.000379877,0.0000347,0.003528,0.8576,0.00009623,0.02373,0.8957
0.6349,0.0001775,0.000870857,0.004741,89.26,0.000618257,0.001774,0.002679801,0.000355635,0.000039,0.003632,0.8427,0.00009112,0.02273,0.8952
0.6349,0.0001775,0.000740521,0.004741,89.26,0.00076028,0.001774,0.002682874,0.000380743,0.0000364,0.003503,0.8502,0.00009517,0.02601,0.9007
0.6349,0.0001775,0.000799422,0.004741,89.26,0.000707605,0.001774,0.002756489,0.000471937,0.0000451,0.00399,0.8301,0.00008607,0.02617,0.9186
0.6349,0.0001775,0.000731905,0.004741,89.26,0.000735054,0.001774,0.002995531,0.000350915,0.0000386,0.003777,0.8477,0.0001058,0.02369,0.8785
0.6349,0.0001775,0.00064761,0.004741,89.26,0.000866817,0.001774,0.002933242,0.000423826,0.0000321,0.00332,0.872,0.00009815,0.02302,0.8974
0.6349,0.0001775,0.000908692,0.004741,89.26,0.000542816,0.001774,0.003791822,0.000403572,0.0000317,0.003453,0.8731,0.000158,0.02471,0.825
0.6349,0.0001775,0.000852635,0.004741,89.26,0.000849141,0.001774,0.002379523,0.000415094,0.0000356,0.003659,0.8614,0.0001269,0.02352,0.8573
0.6349,0.0001775,0.00091206,0.004741,89.26,0.000693649,0.001774,0.003721054,0.00037558,0.0000346,0.003459,0.857,0.00009501,0.024,0.9071
0.6349,0.0001775,0.000880055,0.004741,89.26,0.000749293,0.001774,0.002704956,0.000367491,0.0000351,0.003604,0.858,0.00005543,0.0239,0.9682
0.6349,0.0001775,0.000855069,0.004741,89.26,0.000610548,0.001774,0.003631681,0.000410916,0.0000282,0.003286,0.887,0.0001173,0.02687,0.8699
0.6349,0.0001775,0.000722285,0.004741,89.26,0.00072311,0.001774,0.002896669,0.000335581,0.0000305,0.003172,0.8694,0.00004521,0.02485,0.9953
0.6349,0.0001775,0.000866846,0.004741,89.26,0.000597082,0.001774,0.003121024,0.000369089,0.0000345,0.003598,0.8642,0.0001097,0.02338,0.8821
0.6349,0.0001775,0.00108882,0.004741,89.26,0.000746395,0.001774,0.002819879,0.000305123,0.0000369,0.003621,0.8481,0.0001044,0.02347,0.8832
0.6349,0.0001775,0.000806852,0.004741,89.26,0.000769447,0.001774,0.003167419,0.000372576,0.0000404,0.003655,0.8371,0.000162,0.02577,0.8253
0.6349,0.0001775,0.001004996,0.004741,89.26,0.000749581,0.001774,0.003152245,0.000384481,0.0000356,0.003355,0.8494,0.0001252,0.02347,0.8758
0.6349,0.0001775,0.000814106,0.004741,89.26,0.00060986,0.001774,0.003138654,0.000346904,0.0000351,0.003443,0.8498,0.00009472,0.02234,0.9026
0.6349,0.0001775,0.000925916,0.004741,89.26,0.000745703,0.001774,0.003353388,0.00036836,0.0000336,0.003251,0.8527,0.0001516,0.02279,0.8273
0.6349,0.0001775,0.000672571,0.004741,89.26,0.000791363,0.001774,0.002602411,0.000356125,0.0000363,0.0036,0.8538,0.00008991,0.02359,0.8894
0.6349,0.0001775,0.00065684,0.004741,89.26,0.000741986,0.001774,0.00255957,0.000396268,0.0000372,0.003544,0.8456,0.0001256,0.02484,0.8557
0.6349,0.0001775,0.000928604,0.004741,89.26,0.000690547,0.001774,0.003070024,0.000412796,0.0000393,0.003718,0.8436,0.0001003,0.02878,0.8924
0.6349,0.0001775,0.000826248,0.004741,89.26,0.000566198,0.001774,0.002700562,0.000362242,0.0000376,0.003364,0.8415,0.0001045,0.02627,0.8816
0.6349,0.0001775,0.001031209,0.004741,89.26,0.000651706,0.001774,0.004123098,0.000475401,0.0000391,0.003581,0.8415,0.0000943,0.02714,0.9077
0.6349,0.0001775,0.001097377,0.004741,89.26,0.000775904,0.001774,0.003855128,0.000391899,0.0000427,0.003763,0.8305,0.00003559,0.02538,1.037
0.6349,0.0001775,0.000594,0.004741,89.26,0.000823905,0.001774,0.002327584,0.000410255,0.0000377,0.003637,0.8483,0.0001002,0.02364,0.8863
0.6349,0.0001775,0.000602528,0.004741,89.26,0.000712038,0.001774,0.002887288,0.000441834,0.0000395,0.003235,0.8246,0.0001094,0.02575,0.8997
0.6349,0.0001775,0.000666521,0.004741,89.26,0.000814259,0.001774,0.002390391,0.000358815,0.0000348,0.003696,0.866,0.0001246,0.02161,0.8551
0.6349,0.0001775,0.001077909,0.004741,89.26,0.000710841,0.001774,0.003667302,0.000368332,0.0000377,0.003397,0.8413,0.00007525,0.02268,0.9116
0.6349,0.0001775,0.001127895,0.004741,89.26,0.000570314,0.001774,0.003283795,0.000354327,0.00003,0.003308,0.8765,0.00009321,0.0233,0.9087
0.6349,0.0001775,0.00085981,0.004741,89.26,0.000680089,0.001774,0.002422617,0.000290042,0.0000351,0.003501,0.8589,0.0001322,0.02535,0.8507
0.6349,0.0001775,0.000933037,0.004741,89.26,0.000777221,0.001774,0.003848367,0.000398976,0.000043,0.00337,0.8099,0.00007667,0.02456,0.9264
0.6349,0.0001775,0.0012641,0.004741,89.26,0.000664164,0.001774,0.003866732,0.000427971,0.0000348,0.003764,0.8705,0.0001476,0.02175,0.8194
0.6349,0.0001775,0.000784001,0.004741,89.26,0.000724831,0.001774,0.002963366,0.000376266,0.0000397,0.003737,0.8411,0.0001001,0.0237,0.8803
0.6349,0.0001775,0.000868653,0.004741,89.26,0.000774739,0.001774,0.002446437,0.000310869,0.0000399,0.003722,0.8426,0.0001003,0.02218,0.886
0.6349,0.0001775,0.000914545,0.004741,89.26,0.000701571,0.001774,0.003827536,0.000425941,0.0000385,0.003531,0.8395,0.00007141,0.02551,0.9362
0.6349,0.0001775,0.000809463,0.004741,89.26,0.000773823,0.001774,0.002833519,0.000381612,0.0000366,0.003525,0.8503,0.00009125,0.02402,0.905
0.6349,0.0001775,0.000736449,0.004741,89.26,0.000662578,0.001774,0.003566448,0.00042154,0.0000341,0.003418,0.8572,0.00008058,0.02274,0.9175
0.6349,0.0001775,0.000568678,0.004741,89.26,0.000810698,0.001774,0.002090272,0.000350835,0.0000356,0.003261,0.8466,0.0001192,0.02696,0.8688
0.6349,0.0001775,0.000788661,0.004741,89.26,0.000612236,0.001774,0.002688726,0.000387601,0.0000336,0.003648,0.8711,0.0001551,0.02424,0.8205
0.6349,0.0001775,0.001416147,0.004741,89.26,0.000509635,0.001774,0.004995511,0.00041935,0.0000406,0.00342,0.8264,0.0001042,0.02634,0.8892
0.6349,0.0001775,0.000678653,0.004741,89.26,0.000768386,0.001774,0.002788788,0.00038571,0.0000363,0.003543,0.8509,0.00007668,0.02464,0.9269
0.6349,0.0001775,0.001225457,0.004741,89.26,0.000845658,0.001774,0.004448093,0.000431027,0.000033,0.003594,0.87,0.00009739,0.02481,0.9013
0.6349,0.0001775,0.001093056,0.004741,89.26,0.000785215,0.001774,0.004214665,0.000365402,0.0000408,0.003514,0.8308,0.00008506,0.0233,0.908
0.6349,0.0001775,0.000748751,0.004741,89.26,0.000720884,0.001774,0.003360768,0.000459605,0.0000346,0.003491,0.8598,0.0001222,0.02392,0.8453
0.6349,0.0001775,0.000916409,0.004741,89.26,0.000659196,0.001774,0.002810906,0.000430108,0.0000368,0.003354,0.8415,0.00009887,0.02297,0.8865
0.6349,0.0001775,0.000788722,0.004741,89.26,0.000750566,0.001774,0.003955164,0.000500159,0.0000374,0.003567,0.8482,0.00008212,0.02467,0.9112
0.6349,0.0001775,0.001230095,0.004741,89.26,0.00079862,0.001774,0.003097474,0.000305019,0.0000396,0.003703,0.843,0.000106,0.02445,0.8653
0.6349,0.0001775,0.000911858,0.004741,89.26,0.000768036,0.001774,0.00266302,0.00033833,0.0000479,0.003559,0.8021,0.0001378,0.02732,0.8509
0.6349,0.0001775,0.000975137,0.004741,89.26,0.000727175,0.001774,0.003932145,0.000441507,0.0000365,0.003444,0.8439,0.00009439,0.02444,0.9081
0.6349,0.0001775,0.001051084,0.004741,89.26,0.000727411,0.001774,0.002996956,0.000280589,0.0000435,0.00393,0.835,0.0001136,0.02717,0.8658
0.6349,0.0001775,0.00112358,0.004741,89.26,0.000698794,0.001774,0.003993783,0.000430796,0.000038,0.003597,0.8461,0.00009446,0.02542,0.896
0.6349,0.0001775,0.000798689,0.004741,89.26,0.000790741,0.001774,0.003169623,0.000477913,0.0000379,0.003523,0.8454,0.0001377,0.02266,0.8295
0.6349,0.0001775,0.000986162,0.004741,89.26,0.000767831,0.001774,0.003636376,0.000430504,0.0000371,0.003727,0.8559,0.0001223,0.02166,0.8538
0.6349,0.0001775,0.000600585,0.004741,89.26,0.000655086,0.001774,0.003885214,0.000506907,0.0000429,0.003534,0.8224,0.0001296,0.02501,0.8569
0.6349,0.0001775,0.00098784,0.004741,89.26,0.000782335,0.001774,0.003553862,0.00040371,0.0000354,0.00343,0.8509,0.0001297,0.02448,0.8405
0.6349,0.0001775,0.00098504,0.004741,89.26,0.000668746,0.001774,0.003591228,0.000397679,0.0000411,0.003719,0.8368,0.0001574,0.02471,0.8285
0.6349,0.0001775,0.00060943,0.004741,89.26,0.000681617,0.001774,0.002238469,0.0003202,0.0000401,0.003576,0.8334,0.0001204,0.02451,0.8621
0.6349,0.0001775,0.000558684,0.004741,89.26,0.000849134,0.001774,0.002135871,0.000385371,0.0000367,0.003471,0.8492,0.0001731,0.02401,0.8155
0.6349,0.0001775,0.000713372,0.004741,89.26,0.000543086,0.001774,0.002501243,0.000353966,0.0000377,0.003791,0.8569,0.00008288,0.02321,0.898
0.6349,0.0001775,0.000707814,0.004741,89.26,0.000705843,0.001774,0.002635485,0.000377163,0.0000337,0.00351,0.8658,0.0001044,0.02375,0.8846
0.6349,0.0001775,0.000714662,0.004741,89.26,0.000590951,0.001774,0.002265252,0.000339265,0.0000371,0.0034,0.8431,0.00006532,0.02334,0.9494
0.6349,0.0001775,0.000880351,0.004741,89.26,0.000758442,0.001774,0.002914377,0.000373752,0.0000327,0.003641,0.8749,0.0001664,0.02414,0.8159
0.6349,0.0001775,0.001075972,0.004741,89.26,0.000724715,0.001774,0.003415863,0.000372334,0.000032,0.003346,0.8664,0.00008845,0.02471,0.8995
0.6349,0.0001775,0.001316812,0.004741,89.26,0.000714049,0.001774,0.004108366,0.000422114,0.0000393,0.003647,0.8413,0.0001589,0.02441,0.8179
0.6349,0.0001775,0.000992866,0.004741,89.26,0.000674842,0.001774,0.003206612,0.00036864,0.0000387,0.00379,0.8496,0.00006882,0.02393,0.942
0.6349,0.0001775,0.000730302,0.004741,89.26,0.000567263,0.001774,0.002160754,0.000334522,0.0000507,0.003789,0.7985,0.000185,0.02666,0.816
0.6349,0.0001775,0.000647953,0.004741,89.26,0.000666534,0.001774,0.002042675,0.000359246,0.0000378,0.003521,0.8447,0.0001143,0.02522,0.8773
0.6349,0.0001775,0.001099518,0.004741,89.26,0.000745843,0.001774,0.004270363,0.000422001,0.0000384,0.003779,0.8479,0.00009382,0.02452,0.8893
0.6349,0.0001775,0.00086683,0.004741,89.26,0.000622431,0.001774,0.002619718,0.000333858,0.0000304,0.0033,0.8741,0.00008654,0.02293,0.9045
0.6349,0.0001775,0.000838723,0.004741,89.26,0.000645466,0.001774,0.002741072,0.000368859,0.0000395,0.003545,0.8342,0.00007076,0.02209,0.9353
0.6349,0.0001775,0.000850324,0.004741,89.26,0.000802172,0.001774,0.003102138,0.000416935,0.0000408,0.003681,0.8385,0.00008362,0.02611,0.9151
0.6349,0.0001775,0.001012092,0.004741,89.26,0.000674316,0.001774,0.003783723,0.00039787,0.0000353,0.0036,0.8582,0.00009853,0.0224,0.8899
0.6349,0.0001775,0.000690034,0.004741,89.26,0.000628834,0.001774,0.002366795,0.000375385,0.0000317,0.003421,0.8717,0.0001369,0.02442,0.8446
0.6349,0.0001775,0.000645439,0.004741,89.26,0.00073234,0.001774,0.002193714,0.000387192,0.000032,0.00333,0.8668,0.000123,0.02232,0.8563
0.6349,0.0001775,0.000880657,0.004741,89.26,0.000738546,0.001774,0.002857916,0.000355683,0.0000381,0.003586,0.8458,0.0002478,0.02353,0.7575
0.6349,0.0001775,0.000769706,0.004741,89.26,0.000780749,0.001774,0.002841558,0.000463522,0.0000366,0.003288,0.8403,0.00007877,0.02428,0.9307
0.6349,0.0001775,0.001024177,0.004741,89.26,0.000826132,0.001774,0.003064776,0.000325176,0.0000379,0.003581,0.846,0.0001385,0.02464,0.8329
0.6349,0.0001775,0.00074275,0.004741,89.26,0.000678474,0.001774,0.002856004,0.000339789,0.000034,0.003315,0.8527,0.00007928,0.02543,0.936
0.6349,0.0001775,0.000660122,0.004741,89.26,0.000677242,0.001774,0.002477153,0.000430399,0.0000369,0.003511,0.8467,0.0001515,0.02484,0.8258
0.6349,0.0001775,0.000660711,0.004741,89.26,0.000647224,0.001774,0.002525751,0.000351039,0.0000303,0.003282,0.8765,0.000058,0.02631,0.9688
0.6349,0.0001775,0.000925898,0.004741,89.26,0.000641512,0.001774,0.003879078,0.000455974,0.0000457,0.003633,0.8105,0.0001104,0.02661,0.8856
0.6349,0.0001775,0.000930491,0.004741,89.26,0.000793503,0.001774,0.003220617,0.000426914,0.000037,0.003455,0.8454,0.0001028,0.02432,0.8854
0.6349,0.0001775,0.000988757,0.004741,89.26,0.000680876,0.001774,0.003313852,0.000432132,0.0000354,0.003443,0.8517,0.00008868,0.02728,0.9154
0.6349,0.0001775,0.001038346,0.004741,89.26,0.000717454,0.001774,0.003559574,0.000389908,0.0000372,0.003388,0.8452,0.000104,0.02506,0.8855
